Unnamed: 0,Unnamed: 1,Gold standard,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Ground truth type,Experimentally validated?,Notes
Benchmark 1,Haas,2019.0,"real cancer transcriptome data without a priori defined gold standard truth sets. As an alternative, we pursued a “wisdom of crowds” approach",,,,,,No defined truth set / “wisdom of crowds”,No,Heuristic only
Benchmark 2,Uhrig,2021.0,We considered a prediction to be a true positive if the fusion partners matched a list of validated fusions or if the breakpoints were within a distance of 100 kb from a structural variant detected in a matched WGS sample.,,,,,,"Proxy-based (e.g. SV overlap, simulation)",No,Indirect truth sets
Benchmark 3,Kumar,2016.0,"Previously, we used RT-PCR and traditional Sanger sequencing to validate 44 fusions from this dataset [10]. Here, we combined all six RNA-Seq analysis results of each fusion detection tool and compared them to the list of 44 validated fusions.",,,,,,RNA + WGS + PCR/Sanger/cDNA-capture,Yes,"High-confidence, hybrid approach"
Benchmark 4,Balan,2021.0,Gene fusions detected while benchmarking was confirmed using OncoScan FFPE Assay Kit chromosomal microarray (CMA) and reverse transcription polymerase chain reaction (RT-PCR) with or without subsequent direct Sanger sequencing as previously described,,,,,,RNA + WGS + PCR/Sanger/cDNA-capture,Yes,"High-confidence, hybrid approach"
Benchmark 5,Zhao,2017.0,"In three cancer breast cell lines, 37 fusion genes have been discovered in the previously research",,,,,,Published validated fusions,No (legacy-based),"Moderately trusted, widely reused"
Benchmark 6,Vu,2018.0,"One dataset: They highlight the difficulty in assessing a method when there is no real gold standard. The rest: A total of fusion genes has been validated in this dataset. There are 27 validated fusion genes from the original study [3], and extended to a total of 99 in later publications [3, 4, 14]. For clarity we will separately call these two validated versions as TP27 and TP99 datasets.",,,,,,Published validated fusions,No (legacy-based),"Moderately trusted, widely reused"
Benchmark 7,Singh,2021.0,"This dataset is one of the standard datasets used by different methods to show their performance. The dataset is from the breast cancer cell lines. It originally had 27 true positive fusion events (27 gene pairs), which was later expanded to 99 true positive fusion events in subsequent studies. Datasets validated in other publications were used.",,,,,,Published validated fusions,No (legacy-based),"Moderately trusted, widely reused"
Benchmark 8,Apostolides,2021.0,"Truth sets are subsets of fusions that have been either intentionally created in simulated data or experimentally confirmed in real cancer data. Several of the above datasets were selected due to their previous use in benchmarking of fusion calling methods. Evaluation of fusion calling methods can be challenging due to a lack of clearly defined truth sets. Truth sets are subsets of fusions that have been either intentionally created in simulated data or experimentally confirmed in real cancer data. Several of the above datasets were selected due to their previous use in benchmarking of fusion calling methods (Haas et al., 2019; Jia et al., 2013).",,,,,,"Proxy-based (e.g. SV overlap, simulation)",No,Indirect truth sets
Benchmark 9,Zhang,2016.0,"we used the 138 validated gene fusions discovered using nine methods as the gold standard. The list of true fusions was created by applying bioinformatics (RNA + WGS) and experimental validation (cDNA-capture). Only fusions that are supported by genomic, at least RNA (or both) and experimental validation made it to the final compilation. As a result, they were considered as high-quality ""ground truth"" used to evaluate the tool.",,,,,,RNA + WGS + PCR/Sanger/cDNA-capture,Yes,"High-confidence, hybrid approach"
Benchmark 10,Davidson,2015.0,"Previously published fusions, Literature-based only, No experimental validation in study",,,,,,Published validated fusions,No (legacy-based),"Moderately trusted, widely reused"
